,item_festival,item_festival_title
38,Phalguna Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Phalguna Amavasya <br> on February 19th (Sunday)
39,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 20th (Monday)
40,Phulera Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/phulera_dooj.png' alt='icon'> Phulera Dooj <br> on February 21st (Tuesday)
41,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on February 21st (Tuesday)
42,Amalaki Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Amalaki Ekadashi <br> on March 2nd (Thursday)
43,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 4th (Saturday)
44,Amalaki Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Amalaki Ekadashi <br> on March 2nd (Thursday)
45,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 4th (Saturday)
46,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 6th (Monday)
47,Chhoti Holi,<img class='dpTooltipImg' src='/images/festivals/60x60/holika_dahan_prahlada.png' alt='icon'> Chhoti Holi <br> on March 6th (Monday)
48,Holika Dahan,<img class='dpTooltipImg' src='/images/festivals/60x60/holika_dahan_prahlada.png' alt='icon'> Holika Dahan <br> on March 6th (Monday)
49,Vasanta Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/vasanta_purnima_radha_krishna_holi.png' alt='icon'> Vasanta Purnima <br> on March 6th (Monday)
50,Phalguna Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Phalguna Purnima <br> on March 6th (Monday)
51,Holi,<img class='dpTooltipImg' src='/images/festivals/60x60/krishna_radha_playing_holi.png' alt='icon'> Holi <br> on March 7th (Tuesday)
52,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on March 7th (Tuesday)
53,Bhai Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/bhaiya_dooj_tilak.png' alt='icon'> Bhai Dooj <br> on March 8th (Wednesday)
54,Bhratri Dwitiya,<img class='dpTooltipImg' src='/images/festivals/60x60/bhaiya_duj.png' alt='icon'> Bhratri Dwitiya <br> on March 8th (Wednesday)
55,Bhalachandra Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Bhalachandra Sankashti Chaturthi <br> on March 10th (Friday)
56,Ranga Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/ranga_panchami.png' alt='icon'> Ranga Panchami <br> on March 12th (Sunday)
57,Sheetala Saptami,<img class='dpTooltipImg' src='/images/festivals/60x60/sheetala_ashtami.png' alt='icon'> Sheetala Saptami <br> on March 13th (Monday)
