;item_festival;;;;;;;;;;;January
112;Vaishakha Purnima;May;5;2023;;;;;;;;
113;Chandra Grahan *Upachchaya;May;5;2023;;;;;;;;
114;Ishti;May;6;2023;;;;;;;;
115;Narada Jayanti;May;6;2023;;;;;;;;
116;Ekadanta Sankashti Chaturthi;May;8;2023;;;;;;;;
117;Apara Ekadashi;May;15;2023;;;;;;;;
118;Vrishabha Sankranti;May;15;2023;;;;;;;;
119;Pradosh Vrat;May;16;2023;;;;;;;;
120;Anvadhan;May;19;2023;;;;;;;;
121;Shani Jayanti;May;19;2023;;;;;;;;
122;Darsha Amavasya;May;19;2023;;;;;;;;
123;Vat Savitri Vrat;May;19;2023;;;;;;;;
124;Jyeshtha Amavasya;May;19;2023;;;;;;;;
125;Ishti;May;20;2023;;;;;;;;
126;Chandra Darshana;May;20;2023;;;;;;;;
127;Ganga Dussehra;May;30;2023;;;;;;;;
128;Gayatri Jayanti;May;31;2023;;;;;;;;
129;Nirjala Ekadashi;May;31;2023;;;;;;;;
130;Pradosh Vrat;June;1;2023;;;;;;;;
131;Anvadhan;June;3;2023;;;;;;;;
132;Vat Purnima Vrat;June;3;2023;;;;;;;;
133;Ganga Dussehra;May;30;2023;;;;;;;;
134;Gayatri Jayanti;May;31;2023;;;;;;;;
135;Nirjala Ekadashi;May;31;2023;;;;;;;;
136;Pradosh Vrat;June;1;2023;;;;;;;;
137;Anvadhan;June;3;2023;;;;;;;;
138;Vat Purnima Vrat;June;3;2023;;;;;;;;
139;Ishti;June;4;2023;;;;;;;;
140;Jyeshtha Purnima;June;4;2023;;;;;;;;
141;Krishnapingala Sankashti Chaturthi;June;6;2023;;;;;;;;
142;Yogini Ekadashi;June;14;2023;;;;;;;;
143;Pradosh Vrat;June;15;2023;;;;;;;;
144;Mithuna Sankranti;June;15;2023;;;;;;;;
145;Anvadhan;June;17;2023;;;;;;;;
146;Darsha Amavasya;June;17;2023;;;;;;;;
147;Ishti;June;18;2023;;;;;;;;
148;Ashadha Amavasya;June;18;2023;;;;;;;;
149;Ashadha Navratri;June;19;2023;;;;;;;;
150;Chandra Darshana;June;19;2023;;;;;;;;
151;Jagannath Rathyatra;June;20;2023;;;;;;;;
152;Devshayani Ekadashi;June;29;2023;;;;;;;;
153;Pradosh Vrat;July;1;2023;;;;;;;;
154;Jayaparvati Vrat Begins;July;1;2023;;;;;;;;
155;Adhika Pradosh Vrat;July;30;2023;;;;;;;;
156;Devshayani Ekadashi;June;29;2023;;;;;;;;
157;Pradosh Vrat;July;1;2023;;;;;;;;
158;Jayaparvati Vrat Begins;July;1;2023;;;;;;;;
159;Kokila Vrat;July;2;2023;;;;;;;;
160;Anvadhan;July;3;2023;;;;;;;;
161;Vyasa Puja;July;3;2023;;;;;;;;
162;Guru Purnima;July;3;2023;;;;;;;;
163;Ashadha Purnima;July;3;2023;;;;;;;;
164;Ishti;July;4;2023;;;;;;;;
165;Jayaparvati Vrat Ends;July;6;2023;;;;;;;;
166;Gajanana Sankashti Chaturthi;July;6;2023;;;;;;;;
167;Kamika Ekadashi;July;13;2023;;;;;;;;
