,item_festival,item_festival_title
0,Pausha Putrada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Pausha Putrada Ekadashi <br> on January 2nd (Monday)
1,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 4th (Wednesday)
2,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 6th (Friday)
3,Pausha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Pausha Purnima <br> on January 6th (Friday)
4,Shakambhari Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_shakambari.png' alt='icon'> Shakambhari Purnima <br> on January 6th (Friday)
5,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 7th (Saturday)
6,Sakat Chauth,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Sakat Chauth <br> on January 10th (Tuesday)
7,Lambodara Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/lambodara_ganesha.png' alt='icon'> Lambodara Sankashti Chaturthi <br> on January 10th (Tuesday)
8,Pongal,<img class='dpTooltipImg' src='/images/festivals/60x60/thai_pongal.png' alt='icon'> Pongal <br> on January 15th (Sunday)
9,Makara Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/uttarayana_sankranti.png' alt='icon'> Makara Sankranti <br> on January 15th (Sunday)
10,Shattila Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Shattila Ekadashi <br> on January 18th (Wednesday)
11,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 19th (Thursday)
12,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 21st (Saturday)
13,Mauni Amavas,<img class='dpTooltipImg' src='/images/festivals/60x60/mauni_amavasya_bath.png' alt='icon'> Mauni Amavas <br> on January 21st (Saturday)
14,Magha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Magha Amavasya <br> on January 21st (Saturday)
15,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on January 21st (Saturday)
16,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 22nd (Sunday)
17,Magha Navratri,<img class='dpTooltipImg' src='/images/festivals/60x60/chaitra_navratri.png' alt='icon'> Magha Navratri <br> on January 22nd (Sunday)
18,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on January 23rd (Monday)
19,Vasant Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/vasant_panchami_puja.png' alt='icon'> Vasant Panchami <br> on January 25th (Wednesday)
20,Ratha Saptami,<img class='dpTooltipImg' src='/images/festivals/60x60/ratha_saptami.png' alt='icon'> Ratha Saptami <br> on January 27th (Friday)
21,Bhishma Ashtami,<img class='dpTooltipImg' src='/images/festivals/60x60/bhishma_ashtami.png' alt='icon'> Bhishma Ashtami <br> on January 28th (Saturday)
22,Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Jaya Ekadashi <br> on February 1st (Wednesday)
23,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 2nd (Thursday)
24,Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Jaya Ekadashi <br> on February 1st (Wednesday)
25,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 2nd (Thursday)
26,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 5th (Sunday)
27,Magha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Magha Purnima <br> on February 5th (Sunday)
28,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 6th (Monday)
