,item_festival,item_festival_title
0,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 31st (Monday)
1,Mauni Amavas,<img class='dpTooltipImg' src='/images/festivals/60x60/mauni_amavasya_bath.png' alt='icon'> Mauni Amavas <br> on January 31st (Monday)
2,Magha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Magha Amavasya <br> on January 31st (Monday)
3,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on January 31st (Monday)
4,Saphala Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Saphala Ekadashi <br> on December 29th (Wednesday)
5,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on December 31st (Friday)
6,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 1st (Saturday)
7,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on January 1st (Saturday)
8,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 2nd (Sunday)
9,Pausha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Pausha Amavasya <br> on January 2nd (Sunday)
10,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on January 3rd (Monday)
11,Pausha Putrada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Pausha Putrada Ekadashi <br> on January 12th (Wednesday)
12,Vaishnava Pausha Putrada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vaishnava Pausha Putrada Ekadashi <br> on January 13th (Thursday)
13,Pongal,<img class='dpTooltipImg' src='/images/festivals/60x60/thai_pongal.png' alt='icon'> Pongal <br> on January 14th (Friday)
14,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 14th (Friday)
15,Makara Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/uttarayana_sankranti.png' alt='icon'> Makara Sankranti <br> on January 14th (Friday)
16,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 17th (Monday)
17,Pausha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Pausha Purnima <br> on January 17th (Monday)
18,Shakambhari Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_shakambari.png' alt='icon'> Shakambhari Purnima <br> on January 17th (Monday)
19,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on January 18th (Tuesday)
20,Sakat Chauth,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Sakat Chauth <br> on January 20th (Thursday)
21,Lambodara Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/lambodara_ganesha.png' alt='icon'> Lambodara Sankashti Chaturthi <br> on January 20th (Thursday)
22,Shattila Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Shattila Ekadashi <br> on January 27th (Thursday)
23,Gauna Shattila Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Gauna Shattila Ekadashi <br> on January 28th (Friday)
24,Vaishnava Shattila Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vaishnava Shattila Ekadashi <br> on January 28th (Friday)
25,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on January 29th (Saturday)
26,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on January 31st (Monday)
27,Mauni Amavas,<img class='dpTooltipImg' src='/images/festivals/60x60/mauni_amavasya_bath.png' alt='icon'> Mauni Amavas <br> on January 31st (Monday)
28,Magha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Magha Amavasya <br> on January 31st (Monday)
29,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on January 31st (Monday)
30,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 1st (Tuesday)
31,Magha Navratri,<img class='dpTooltipImg' src='/images/festivals/60x60/chaitra_navratri.png' alt='icon'> Magha Navratri <br> on February 1st (Tuesday)
32,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on February 2nd (Wednesday)
33,Vasant Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/vasant_panchami_puja.png' alt='icon'> Vasant Panchami <br> on February 5th (Saturday)
34,Ratha Saptami,<img class='dpTooltipImg' src='/images/festivals/60x60/ratha_saptami.png' alt='icon'> Ratha Saptami <br> on February 7th (Monday)
35,Bhishma Ashtami,<img class='dpTooltipImg' src='/images/festivals/60x60/bhishma_ashtami.png' alt='icon'> Bhishma Ashtami <br> on February 8th (Tuesday)
36,Jaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Jaya Ekadashi <br> on February 11th (Friday)
37,Kumbha Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/surya_puja.png' alt='icon'> Kumbha Sankranti <br> on February 12th (Saturday)
38,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 13th (Sunday)
39,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on February 15th (Tuesday)
40,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on February 16th (Wednesday)
41,Magha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Magha Purnima <br> on February 16th (Wednesday)
42,Dwijapriya Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Dwijapriya Sankashti Chaturthi <br> on February 19th (Saturday)
43,Vijaya Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vijaya Ekadashi <br> on February 26th (Saturday)
44,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 27th (Sunday)
45,Maha Shivaratri,<img class='dpTooltipImg' src='/images/festivals/60x60/ladies_maha_shivaratri_puja.png' alt='icon'> Maha Shivaratri <br> on February 28th (Monday)
46,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 1st (Tuesday)
47,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on March 1st (Tuesday)
48,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on March 2nd (Wednesday)
49,Phalguna Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Phalguna Amavasya <br> on March 2nd (Wednesday)
50,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on March 3rd (Thursday)
51,Phulera Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/phulera_dooj.png' alt='icon'> Phulera Dooj <br> on March 4th (Friday)
52,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on February 27th (Sunday)
53,Maha Shivaratri,<img class='dpTooltipImg' src='/images/festivals/60x60/ladies_maha_shivaratri_puja.png' alt='icon'> Maha Shivaratri <br> on February 28th (Monday)
54,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 1st (Tuesday)
55,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on March 1st (Tuesday)
56,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on March 2nd (Wednesday)
57,Phalguna Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Phalguna Amavasya <br> on March 2nd (Wednesday)
58,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on March 3rd (Thursday)
59,Phulera Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/phulera_dooj.png' alt='icon'> Phulera Dooj <br> on March 4th (Friday)
60,Amalaki Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Amalaki Ekadashi <br> on March 13th (Sunday)
61,Meena Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/meena_sankranti.png' alt='icon'> Meena Sankranti <br> on March 14th (Monday)
62,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 15th (Tuesday)
63,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 17th (Thursday)
64,Chhoti Holi,<img class='dpTooltipImg' src='/images/festivals/60x60/holika_dahan_prahlada.png' alt='icon'> Chhoti Holi <br> on March 17th (Thursday)
65,Holika Dahan,<img class='dpTooltipImg' src='/images/festivals/60x60/holika_dahan_prahlada.png' alt='icon'> Holika Dahan <br> on March 17th (Thursday)
66,Vasanta Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/vasanta_purnima_radha_krishna_holi.png' alt='icon'> Vasanta Purnima <br> on March 17th (Thursday)
67,Phalguna Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Phalguna Purnima <br> on March 17th (Thursday)
68,Holi,<img class='dpTooltipImg' src='/images/festivals/60x60/krishna_radha_playing_holi.png' alt='icon'> Holi <br> on March 18th (Friday)
69,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on March 18th (Friday)
70,Bhai Dooj,<img class='dpTooltipImg' src='/images/festivals/60x60/bhaiya_dooj_tilak.png' alt='icon'> Bhai Dooj <br> on March 19th (Saturday)
71,Bhratri Dwitiya,<img class='dpTooltipImg' src='/images/festivals/60x60/bhaiya_duj.png' alt='icon'> Bhratri Dwitiya <br> on March 19th (Saturday)
72,Bhalachandra Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Bhalachandra Sankashti Chaturthi <br> on March 20th (Sunday)
73,Ranga Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/ranga_panchami.png' alt='icon'> Ranga Panchami <br> on March 22nd (Tuesday)
74,Sheetala Saptami,<img class='dpTooltipImg' src='/images/festivals/60x60/sheetala_ashtami.png' alt='icon'> Sheetala Saptami <br> on March 23rd (Wednesday)
75,Basoda,<img class='dpTooltipImg' src='/images/festivals/60x60/sheetala_ashtami.png' alt='icon'> Basoda <br> on March 24th (Thursday)
76,Sheetala Ashtami,<img class='dpTooltipImg' src='/images/festivals/60x60/sheetala_ashtami.png' alt='icon'> Sheetala Ashtami <br> on March 24th (Thursday)
77,Papmochani Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Papmochani Ekadashi <br> on March 27th (Sunday)
78,Vaishnava Papmochani Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Vaishnava Papmochani Ekadashi <br> on March 28th (Monday)
79,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on March 29th (Tuesday)
80,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on March 31st (Thursday)
81,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on March 31st (Thursday)
82,Chaitra Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Chaitra Amavasya <br> on March 31st (Thursday)
83,Ugadi,<img class='dpTooltipImg' src='/images/festivals/60x60/ugadi_celebration.png' alt='icon'> Ugadi <br> on April 1st (Friday)
84,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on April 1st (Friday)
85,Gudi Padwa,<img class='dpTooltipImg' src='/images/festivals/60x60/gudi_padwa.png' alt='icon'> Gudi Padwa <br> on April 1st (Friday)
86,Chaitra Navratri,<img class='dpTooltipImg' src='/images/festivals/60x60/chaitra_navratri.png' alt='icon'> Chaitra Navratri <br> on April 1st (Friday)
87,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on April 2nd (Saturday)
88,Papmochani Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Papmochani Ekadashi <br> on March 27th (Sunday)
